Actual_value,Predict_value
49420.0,48901.99
49409.0,49772.86
49384.0,50558.305
49496.0,49756.02
49038.0,50069.246
48428.0,50186.87
47784.0,48171.52
47832.0,49014.95
47178.0,49989.668
46598.0,48565.684
46446.0,47736.742
46464.0,48181.266
46940.0,47914.77
47120.0,47792.977
46468.0,48781.23
46465.0,47296.02
47320.0,47442.01
47114.0,48566.715
46464.0,46786.223
46546.0,47252.363
46566.0,47348.406
46370.0,46132.625
46648.0,46416.05
47224.0,47869.887
47584.0,47491.883
47446.0,47890.297
47210.67,47845.105
47173.33,47704.055
47014.0,48045.44
46994.0,47785.98
47344.0,48415.125
47216.0,49214.18
47290.0,47822.086
47055.0,48065.438
47156.0,48560.156
47372.0,47228.36
47724.0,47885.492
48914.0,48112.67
48984.0,50049.184
49300.0,49206.23
48977.0,49607.09
48806.0,48596.66
48930.0,48875.477
47592.0,48913.95
45626.0,46432.363
45520.0,45787.812
45698.0,47070.22
45870.0,46694.07
45132.0,45787.305
44510.0,45527.227
43126.0,45130.176
38476.0,45012.445
38970.0,43187.652
40007.0,42199.836
41394.0,42216.676
42194.0,42548.355
42182.0,42296.58
42992.0,42328.938
43528.0,42728.926
43444.0,43147.402
44080.0,43628.953
44470.0,42392.79
45458.0,45014.918
47060.0,44211.848
47520.0,46441.977
48600.0,44860.793
49480.0,46930.727
51386.0,47462.086
51784.0,49644.344
52094.0,49616.637
51706.0,50291.004
51114.0,50718.484
50496.0,50429.91
51922.0,50334.246
51842.0,52409.42
52198.0,52369.15
52158.0,52189.6
52090.0,53397.04
51144.0,52150.395
51375.71,50941.953
51576.29,51768.793
51610.0,51596.105
52130.0,52455.844
51584.0,53241.027
51954.0,52549.14
52644.0,53970.34
53478.0,52282.43
56216.0,55563.066
57328.0,55592.73
57620.0,57278.78
58530.0,56003.73
58332.0,58191.37
