Actual_value,Predict_value
49820.0,49344.965
49958.0,49353.758
49824.0,49512.18
49420.0,49482.5
49409.0,49527.504
49384.0,49748.973
49496.0,49752.855
49038.0,49502.89
48428.0,49220.316
47784.0,48555.062
47832.0,47902.88
47178.0,47941.207
46598.0,47594.176
46446.0,46962.27
46464.0,46759.176
46940.0,46803.617
47120.0,47433.062
46468.0,47794.35
46465.0,47313.73
47320.0,47683.13
47114.0,48069.14
46464.0,47933.37
46546.0,46921.957
46566.0,46437.277
46370.0,46211.74
46648.0,46039.152
47224.0,46208.55
47584.0,47074.51
47446.0,47579.11
47210.67,47345.473
47173.33,47011.21
47014.0,46952.332
46994.0,47282.598
47344.0,47425.832
47216.0,47987.617
47290.0,48121.402
47055.0,48037.297
47156.0,47246.734
47372.0,46959.84
47724.0,46846.938
48914.0,47376.926
48984.0,48512.01
49300.0,49311.29
48977.0,49607.086
48806.0,49571.14
48930.0,49523.46
47592.0,49547.457
45626.0,48167.406
45520.0,46283.652
45698.0,45836.43
45870.0,45913.33
45132.0,45650.312
44510.0,44936.547
43126.0,44179.074
38476.0,42781.0
38970.0,40173.188
40007.0,39545.086
41394.0,39367.207
42194.0,40082.184
42182.0,40767.098
42992.0,41094.727
43528.0,41359.973
43444.0,41682.758
44080.0,41570.645
44470.0,42007.5
45458.0,42283.453
47060.0,43414.742
47520.0,43971.305
48600.0,44125.668
49480.0,44319.945
51386.0,45070.844
51784.0,46669.156
52094.0,47355.465
51706.0,47789.56
51114.0,47832.16
50496.0,47383.457
51922.0,46771.254
51842.0,47224.586
52198.0,47552.215
52158.0,47193.44
52090.0,46891.75
51144.0,46887.3
51375.71,45648.03
51576.29,44426.92
51610.0,44528.508
52130.0,44791.824
51584.0,45384.246
51954.0,44820.555
52644.0,44886.938
53478.0,44936.195
56216.0,45626.746
57328.0,46953.773
57620.0,48304.547
58530.0,49356.074
58332.0,50026.69
